Taxon,DNA Number,Voucher/Published source,ITS,LSU,RPB1,ß-tubulin,EFT 2.1,rbcLX,rbcLX phylogroup or haplotype
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690782,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690764,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690758,N/A
L. pulmonaria,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690761,N/A
L. scrobiculata,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690785,N/A
Massalongia carnosa,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471024,N/A
M. carnosa,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779969,N/A
Nephroma arcticum,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476562,"HT26, IV"
N. arcticum,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476565,"HT27, IV"
N. arcticum,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476628,XIa
N. bellum,OG4,Norway; N. Magain s.n.; LG,--,KX869861,KX880303,--,--,--,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690791,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690803,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690788,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690794,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690797,N/A
N. bellum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690800,N/A
N. bellum,GB,Austria; O'Brien et al. 2005,--,--,--,--,--,82471027,N/A
N. bellum*,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476436,HT12
N. helveticum,GB,Canada; O'Brien et al. 2005,--,--,--,--,--,82471030,N/A
N. laevigatum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690806,N/A
N. laevigatum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690809,N/A
N. parile,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476439,HT05
N. parile,OG3,Norway; N. Magain s.n.; LG,--,KX869862,--,--,--,--,N/A
N. parile,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690812,N/A
N. parile,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690818,N/A
N. parile,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690821,N/A
N. parile,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690815,N/A
N. resupinatum,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476634,N/A
N. resupinatum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690824,N/A
N. resupinatum,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690827,N/A
N. tangeriense,GB,Madeira; Myllys et al. 2007,--,--,--,--,--,119690830,N/A
Nostoc calcicola,GB,Czech Republic; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650826,N/A
N. calcicola,GB,Czech Republic; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650829,N/A
N. commune,GB,USA; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82470988,N/A
N. commune,GB,China; Rudi et al. 1998,N/A,N/A,N/A,N/A,N/A,2463296,N/A
N. edaphicum,GB,Czech Republic; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650832,N/A
N. ellipsorum,GB,Czech Republic; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650835,N/A
N. flagelliforme,GB,China; Rudi et al. 1998,N/A,N/A,N/A,N/A,N/A,2463302,N/A
N. muscorum,GB,France; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471087,N/A
N. punctiforme,GB,France; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471099,N/A
Nostoc sp.,GB,Unknown; Fewer et al. 2007,N/A,N/A,N/A,N/A,N/A,159154307,N/A
Nostoc sp.,GB,Unknown; Tomitani et al. 2006,N/A,N/A,N/A,N/A,N/A,89241989,N/A
Nostoc sp.,GB,"Svalbard, Norway; Rudi et al. 1998",N/A,N/A,N/A,N/A,N/A,2463317,N/A
Nostoc sp.,GB,"USA, Rudi et al. 1998",N/A,N/A,N/A,N/A,N/A,2463308,N/A
Nostoc sp.,GB,Indonesia; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471039,N/A
Nostoc sp.,GB,Senegel; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471051,N/A
Nostoc sp.,GB,Finland; Rajaniemi et al. 2005,N/A,N/A,N/A,N/A,N/A,55650727,N/A
Nostoc sp.,GB,Norway; Rudi et al. 1998,N/A,N/A,N/A,N/A,N/A,2463311,N/A
Nostoc sp.,GB,Antarctica; Rudi et al. 1998,N/A,N/A,N/A,N/A,N/A,2463314,N/A
Pannaria conoplea,GB,Austria; O'Brien et al. 2005,--,--,--,--,--,82471033,N/A
Parmeliella triptophylla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690836,N/A
P. triptophylla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690839,N/A
P. triptophylla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690842,N/A
P. triptophylla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690845,N/A
Protopannaria pezizoides,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690833,N/A
Parmotrema tinctorum,GB,Unknown; Lei et al. 2008,--,--,--,--,--,190147520,N/A
P. tinctorum,GB,Unknown; Lei et al. 2008,--,--,--,--,--,190147518,N/A
P. tinctorum,GB,Unknown; Lei et al. 2008,--,--,--,--,--,190147522,N/A
Protopannaria pezizoides,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779965,N/A
Pseudocyphellaria clathrata,GB,Brazil; Stenroos et al. 2006,--,--,--,--,--,82779936,N/A
P. coriifolia,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779949,N/A
P. coriifolia,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779938,N/A
P. coriifolia,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779955,N/A
P. crocata,GB,Madeira; Myllys et al. 2007,--,--,--,--,--,119690910,N/A
P. crocata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779944,N/A
P. crocata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779943,N/A
P. crocata,GB,Canada; Stenroos et al. 2006,--,--,--,--,--,82779935,N/A
P. crocata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779942,N/A
P. crocata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779945,N/A
P. crocata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779948,N/A
P. crocata,GB,Thailand; Stenroos et al. 2006,--,--,--,--,--,82779952,N/A
P. crocata,GB,Mauritius; Stenroos et al. 2006,--,--,--,--,--,82779954,N/A
P. hirsuta,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779940,N/A
P. hirsuta,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779975,N/A
P. hirsuta,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779947,N/A
P. intricata,GB,Reunion Island; Stenroos et al. 2006,--,--,--,--,--,82779953,N/A
P. intricata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779946,N/A
P. intricata,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779939,N/A
P. mallota,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779951,N/A
P. mallota,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779937,N/A
P. pilosella,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779950,N/A
P. scabrosa,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779974,N/A
P. scabrosa,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779941,N/A
Scytinium gelatinosum 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278542,N/A
S. gelatinosum 2,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471015,N/A
S. gelatinosum 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278539,N/A
S. lichenoides 1,GB,Sweden; Otálora et al. 2010,--,--,--,--,--,241913791,N/A
S. lichenoides 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278548,N/A
S. lichenoides 3,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278545,N/A
S. lichenoides 4,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278551,N/A
S. lichenoides 5,GB,Portugal; Otálora et al. 2010,--,--,--,--,--,205278554,N/A
S. lichenoides 6,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278557,N/A
S. magnusonii 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278566,N/A
S.  magnusonii 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278569,N/A
S.  magnusonii 3,GB,Sweden; Otálora et al. 2010,--,--,--,--,--,205278560,N/A
S.  magnusonii 4,GB,Denmark; Otálora et al. 2010,--,--,--,--,--,205278563,N/A
S.  magnusonii 5,GB,Sweden; Otálora et al. 2010,--,--,--,--,--,205278575,N/A
S.  magnusonii 6,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278572,N/A
S. pulvinatum 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278596,N/A
S. pulvinatum 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278593,N/A
S. schraderi 1,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278614,N/A
S. schraderi 2,GB,Spain; Otálora et al. 2010,--,--,--,--,--,205278611,N/A
Solorina crocea,OG14,"Russia, Karelia; T. Ahti s.n.; PTZ",--,123979314,123979355,--,--,--,N/A
S. saccata,OG13,"Russia, Karelia; T. Ahti s.n.; PTZ",--,--,KX880304,--,--,--,N/A
Stangeria paradosa,GB,England; O'Brien et al. 2005,N/A,N/A,N/A,N/A,N/A,82471078,N/A
Stereocaulon exutum,GB,Japan; Stenroos et al. 2006,--,--,--,--,--,82779962,N/A
S. fronduliferum,GB,New Zealand; Stenroos et al. 2006,--,--,--,--,--,82779963,N/A
S. tomentosum,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779964,N/A
Sticta beauvoisii,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471006,N/A
S. fuliginosa,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82471102,N/A
S. gaudichaldia,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779960,IV
S. hypochra,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779959,IV
S. hypochra,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779958,IV
S. hypochra,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779957,IV
S. hypochra,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779956,IV
S. hypochra,GB,Argentina; Stenroos et al. 2006,--,--,--,--,--,82779961,IV
Vahliella leucophaea,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779966,N/A
